model_name,split,threshold,accuracy,precision_infeasible,recall_infeasible,f1_infeasible,roc_auc,orders_flagged,true_negative,false_positive,false_negative,true_positive
Soft Voting Ensemble,Training,0.2,0.9722182028649978,0.9010869565217391,0.9940047961630696,0.9452679589509693,0.9993037422055489,1840,5061,182,10,1658
Soft Voting Ensemble,Testing,0.2,0.9539930555555556,0.8571428571428571,0.9712230215827338,0.9106239460370995,0.9948882998864067,630,1658,90,16,540
Soft Voting Ensemble,Training,0.25,0.983070467370858,0.9439038351459645,0.9886091127098321,0.9657393850658857,0.9993037422055489,1747,5145,98,19,1649
Soft Voting Ensemble,Testing,0.25,0.9657118055555556,0.9008403361344538,0.9640287769784173,0.9313640312771503,0.9948882998864067,595,1689,59,20,536
Soft Voting Ensemble,Training,0.3,0.9878454637534365,0.9708680142687277,0.9790167865707434,0.9749253731343284,0.9993037422055489,1682,5194,49,35,1633
Soft Voting Ensemble,Testing,0.3,0.9739583333333334,0.9444444444444444,0.947841726618705,0.9461400359066428,0.9948882998864067,558,1717,31,29,527
Soft Voting Ensemble,Training,0.35,0.9901606135146868,0.9854368932038835,0.973621103117506,0.9794933655006032,0.9993037422055489,1648,5219,24,44,1624
Soft Voting Ensemble,Testing,0.35,0.97265625,0.9573283858998145,0.9280575539568345,0.9424657534246575,0.9948882998864067,539,1725,23,40,516
Soft Voting Ensemble,Training,0.4,0.989437129214296,0.9931972789115646,0.9628297362110312,0.9777777777777777,0.9993037422055489,1617,5232,11,62,1606
Soft Voting Ensemble,Testing,0.4,0.9735243055555556,0.9732313575525813,0.9154676258992805,0.943466172381835,0.9948882998864067,523,1734,14,47,509
Soft Voting Ensemble,Training,0.45,0.9879901606135146,0.9987413467589679,0.9514388489208633,0.9745164261590421,0.9993037422055489,1589,5241,2,81,1587
Soft Voting Ensemble,Testing,0.45,0.9748263888888888,0.9844357976653697,0.9100719424460432,0.9457943925233645,0.9948882998864067,514,1740,8,50,506
Soft Voting Ensemble,Training,0.5,0.9853856171321083,1.0,0.9394484412470024,0.9687789799072642,0.9993037422055489,1567,5243,0,101,1567
Soft Voting Ensemble,Testing,0.5,0.9752604166666666,0.9921104536489151,0.9046762589928058,0.9463781749764817,0.9948882998864067,507,1744,4,53,503
Soft Voting Ensemble,Training,0.55,0.9822022862103892,1.0,0.9262589928057554,0.96171802054155,0.9993037422055489,1545,5243,0,123,1545
Soft Voting Ensemble,Testing,0.55,0.9752604166666666,0.998003992015968,0.8992805755395683,0.9460737937559129,0.9948882998864067,501,1747,1,56,500
Soft Voting Ensemble,Training,0.6,0.9803212270293734,1.0,0.9184652278177458,0.9575,0.9993037422055489,1532,5243,0,136,1532
Soft Voting Ensemble,Testing,0.6,0.97265625,1.0,0.8866906474820144,0.9399428026692088,0.9948882998864067,493,1748,0,63,493
Soft Voting Ensemble,Training,0.65,0.9725075965851541,1.0,0.8860911270983214,0.9396058486967578,0.9993037422055489,1478,5243,0,190,1478
Soft Voting Ensemble,Testing,0.65,0.9657118055555556,1.0,0.8579136690647482,0.9235237173281704,0.9948882998864067,477,1748,0,79,477
Soft Voting Ensemble,Training,0.7,0.957459123137028,1.0,0.8237410071942446,0.903353057199211,0.9993037422055489,1374,5243,0,294,1374
Soft Voting Ensemble,Testing,0.7,0.9487847222222222,1.0,0.7877697841726619,0.8812877263581489,0.9948882998864067,438,1748,0,118,438
Soft Voting Ensemble,Training,0.75,0.9487773115323398,1.0,0.7877697841726619,0.8812877263581489,0.9993037422055489,1314,5243,0,354,1314
Soft Voting Ensemble,Testing,0.75,0.9370659722222222,1.0,0.7392086330935251,0.8500517063081696,0.9948882998864067,411,1748,0,145,411
Soft Voting Ensemble,Training,0.8,0.9312689914628852,1.0,0.7152278177458034,0.8339741349178609,0.9993037422055489,1193,5243,0,475,1193
Soft Voting Ensemble,Testing,0.8,0.9201388888888888,1.0,0.6690647482014388,0.8017241379310345,0.9948882998864067,372,1748,0,184,372
