model_name,split,threshold,accuracy,precision_infeasible,recall_infeasible,f1_infeasible,roc_auc,orders_flagged,true_negative,false_positive,false_negative,true_positive
Tuned Extra Trees,Training,0.2,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned Extra Trees,Testing,0.2,0.9661458333333334,0.8943894389438944,0.9748201438848921,0.9328743545611016,0.9952160125446553,606,1684,64,14,542
Tuned Extra Trees,Training,0.25,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned Extra Trees,Testing,0.25,0.9700520833333334,0.9162393162393162,0.9640287769784173,0.9395267309377738,0.9952160125446553,585,1699,49,20,536
Tuned Extra Trees,Training,0.3,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned Extra Trees,Testing,0.3,0.9696180555555556,0.9233449477351916,0.9532374100719424,0.9380530973451328,0.9952160125446553,574,1704,44,26,530
Tuned Extra Trees,Training,0.35,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned Extra Trees,Testing,0.35,0.9691840277777778,0.9307282415630551,0.9424460431654677,0.936550491510277,0.9952160125446553,563,1709,39,32,524
Tuned Extra Trees,Training,0.4,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned Extra Trees,Testing,0.4,0.9709201388888888,0.9405405405405406,0.9388489208633094,0.9396939693969397,0.9952160125446553,555,1715,33,34,522
Tuned Extra Trees,Training,0.45,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned Extra Trees,Testing,0.45,0.9700520833333334,0.9484346224677717,0.9262589928057554,0.9372156505914467,0.9952160125446553,543,1720,28,41,515
Tuned Extra Trees,Training,0.5,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned Extra Trees,Testing,0.5,0.9700520833333334,0.9603024574669187,0.9136690647482014,0.936405529953917,0.9952160125446553,529,1727,21,48,508
Tuned Extra Trees,Training,0.55,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned Extra Trees,Testing,0.55,0.9704861111111112,0.9674329501915708,0.908273381294964,0.9369202226345084,0.9952160125446553,522,1731,17,51,505
Tuned Extra Trees,Training,0.6,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned Extra Trees,Testing,0.6,0.9709201388888888,0.974757281553398,0.9028776978417267,0.9374416433239963,0.9952160125446553,515,1735,13,54,502
Tuned Extra Trees,Training,0.65,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned Extra Trees,Testing,0.65,0.9700520833333334,0.9765166340508806,0.8974820143884892,0.9353327085285849,0.9952160125446553,511,1736,12,57,499
Tuned Extra Trees,Training,0.7,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned Extra Trees,Testing,0.7,0.9665798611111112,0.9780439121756487,0.8812949640287769,0.9271523178807947,0.9952160125446553,501,1737,11,66,490
Tuned Extra Trees,Training,0.75,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned Extra Trees,Testing,0.75,0.9631076388888888,0.9815950920245399,0.8633093525179856,0.9186602870813397,0.9952160125446553,489,1739,9,76,480
Tuned Extra Trees,Training,0.8,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned Extra Trees,Testing,0.8,0.9618055555555556,0.9854771784232366,0.85431654676259,0.9152215799614644,0.9952160125446553,482,1741,7,81,475
