feature,importance_mean,importance_std
tpt,0.506162483769516,0.01710554132320346
log_weight,0.12635000098680224,0.008758899089961995
customer_order_frequency,0.09713980021708742,0.006200372401551289
weight,0.0660730661785646,0.005237162064956973
plant_customer_frequency,0.03831228923355451,0.006608686988794796
log_unit_quantity,0.013880080312775156,0.0017238722533309012
unit_quantity,0.0062934981433311,0.0011308223497998738
customer_product_frequency,0.004847127409858998,0.0019636292052300445
product_order_frequency,0.0037452960759601583,0.002421619647194946
plant_supported_product_count,0.0032801476609898737,0.0008855445772023615
log_weight_per_unit,0.0017799376239518883,0.0017871879888948013
weight_per_unit,0.0009393981411320196,0.001977354794626302
plant_product_frequency,0.0007547704756910468,0.002560792296560187
plant_warehouse_cost_per_unit,0.0005774371769738052,0.00047147548069967013
plant_origin,0.000176037442551491,0.000555468802159249
origin_port_frequency,8.793018445008016e-05,0.0002637905533502405
plant_daily_capacity,0.0,0.0
ship_ahead_day_count,0.0,0.0
ship_late_day_count,0.0,0.0
is_late,0.0,0.0
origin_port,0.0,0.0
plant_code,0.0,0.0
plant_total_order_count,0.0,0.0
plant_order_frequency,0.0,0.0
has_vmi_rule,0.0,0.0
plant_utilization_ratio,0.0,0.0
plant_over_capacity_flag,0.0,0.0
plant_capacity_risk_80_flag,0.0,0.0
vmi_rule_satisfied,0.0,0.0
product_is_single_plant_supported,0.0,0.0
is_shipped_ahead,-0.00017618453547878498,0.00035236907095756995
number_of_plants_that_support_product,-0.00027224699132308847,0.0004163730090355162
