model_name,split,threshold,accuracy,precision_infeasible,recall_infeasible,f1_infeasible,roc_auc,orders_flagged,true_negative,false_positive,false_negative,true_positive
Tuned KNN,Training,0.2,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned KNN,Testing,0.2,0.9592013888888888,0.8799342105263158,0.9622302158273381,0.9192439862542955,0.9836246563390021,608,1675,73,21,535
Tuned KNN,Training,0.25,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned KNN,Testing,0.25,0.9618055555555556,0.8966101694915254,0.9514388489208633,0.9232111692844677,0.9836246563390021,590,1687,61,27,529
Tuned KNN,Training,0.3,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned KNN,Testing,0.3,0.9657118055555556,0.9147826086956522,0.9460431654676259,0.9301503094606542,0.9836246563390021,575,1699,49,30,526
Tuned KNN,Training,0.35,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned KNN,Testing,0.35,0.9674479166666666,0.9271758436944938,0.9388489208633094,0.9329758713136729,0.9836246563390021,563,1707,41,34,522
Tuned KNN,Training,0.4,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned KNN,Testing,0.4,0.9665798611111112,0.936247723132969,0.9244604316546763,0.930316742081448,0.9836246563390021,549,1713,35,42,514
Tuned KNN,Training,0.45,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned KNN,Testing,0.45,0.9657118055555556,0.9424860853432282,0.9136690647482014,0.9278538812785389,0.9836246563390021,539,1717,31,48,508
Tuned KNN,Training,0.5,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned KNN,Testing,0.5,0.9644097222222222,0.9421641791044776,0.908273381294964,0.924908424908425,0.9836246563390021,536,1717,31,51,505
Tuned KNN,Training,0.55,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned KNN,Testing,0.55,0.9639756944444444,0.9487666034155597,0.8992805755395683,0.9233610341643582,0.9836246563390021,527,1721,27,56,500
Tuned KNN,Training,0.6,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned KNN,Testing,0.6,0.9644097222222222,0.9647058823529412,0.8848920863309353,0.9230769230769231,0.9836246563390021,510,1730,18,64,492
Tuned KNN,Training,0.65,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned KNN,Testing,0.65,0.9665798611111112,0.9780439121756487,0.8812949640287769,0.9271523178807947,0.9836246563390021,501,1737,11,66,490
Tuned KNN,Training,0.7,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned KNN,Testing,0.7,0.9644097222222222,0.9836734693877551,0.8669064748201439,0.9216061185468452,0.9836246563390021,490,1740,8,74,482
Tuned KNN,Training,0.75,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned KNN,Testing,0.75,0.9609375,0.9854166666666667,0.8507194244604317,0.9131274131274131,0.9836246563390021,480,1741,7,83,473
Tuned KNN,Training,0.8,1.0,1.0,1.0,1.0,1.0,1668,5243,0,0,1668
Tuned KNN,Testing,0.8,0.9596354166666666,0.9853249475890985,0.8453237410071942,0.9099709583736689,0.9836246563390021,477,1741,7,86,470
