model_name,split,threshold,accuracy,precision_infeasible,recall_infeasible,f1_infeasible,roc_auc,orders_flagged,true_negative,false_positive,false_negative,true_positive
Stacking Ensemble,Training,0.2,0.9918969758356244,0.9780545670225386,0.9886091127098321,0.9833035181872392,0.9997626159991327,1686,5206,37,19,1649
Stacking Ensemble,Testing,0.2,0.9774305555555556,0.9468085106382979,0.960431654676259,0.9535714285714286,0.9981211826877171,564,1718,30,22,534
Stacking Ensemble,Training,0.25,0.99146288525539,0.9808726838015541,0.9838129496402878,0.9823406165818617,0.9997626159991327,1673,5211,32,27,1641
Stacking Ensemble,Testing,0.25,0.9787326388888888,0.9584086799276673,0.9532374100719424,0.9558160504959423,0.9981211826877171,553,1725,23,26,530
Stacking Ensemble,Training,0.3,0.9918969758356244,0.984375,0.9820143884892086,0.9831932773109243,0.9997626159991327,1664,5217,26,30,1638
Stacking Ensemble,Testing,0.3,0.9791666666666666,0.9635036496350365,0.9496402877697842,0.9565217391304348,0.9981211826877171,548,1728,20,28,528
Stacking Ensemble,Training,0.35,0.9923310664158588,0.9879154078549849,0.9802158273381295,0.9840505567258502,0.9997626159991327,1655,5223,20,33,1635
Stacking Ensemble,Testing,0.35,0.9796006944444444,0.9686924493554327,0.9460431654676259,0.9572338489535942,0.9981211826877171,543,1731,17,30,526
Stacking Ensemble,Training,0.4,0.9924757632759369,0.9914841849148418,0.9772182254196643,0.9842995169082126,0.9997626159991327,1644,5229,14,38,1630
Stacking Ensemble,Testing,0.4,0.9791666666666666,0.9721189591078067,0.9406474820143885,0.9561243144424132,0.9981211826877171,538,1733,15,33,523
Stacking Ensemble,Training,0.45,0.9930545507162495,0.9939024390243902,0.9772182254196643,0.9854897218863361,0.9997626159991327,1640,5233,10,38,1630
Stacking Ensemble,Testing,0.45,0.9787326388888888,0.9738317757009346,0.9370503597122302,0.9550870760769936,0.9981211826877171,535,1734,14,35,521
Stacking Ensemble,Training,0.5,0.9930545507162495,0.9951100244498777,0.9760191846522782,0.9854721549636803,0.9997626159991327,1636,5235,8,40,1628
Stacking Ensemble,Testing,0.5,0.9782986111111112,0.9737827715355806,0.935251798561151,0.9541284403669725,0.9981211826877171,534,1734,14,36,520
Stacking Ensemble,Training,0.55,0.9924757632759369,0.9969249692496925,0.9718225419664268,0.98421372191864,0.9997626159991327,1626,5238,5,47,1621
Stacking Ensemble,Testing,0.55,0.9782986111111112,0.9791666666666666,0.9298561151079137,0.9538745387453874,0.9981211826877171,528,1737,11,39,517
Stacking Ensemble,Training,0.6,0.9920416726957025,0.9981470043236566,0.9688249400479616,0.9832674170976574,0.9997626159991327,1619,5240,3,52,1616
Stacking Ensemble,Testing,0.6,0.9774305555555556,0.9827586206896551,0.9226618705035972,0.9517625231910947,0.9981211826877171,522,1739,9,43,513
Stacking Ensemble,Training,0.65,0.9911734915352337,0.9981401115933044,0.9652278177458034,0.9814081072843646,0.9997626159991327,1613,5240,3,58,1610
Stacking Ensemble,Testing,0.65,0.9765625,0.9845559845559846,0.9172661870503597,0.9497206703910615,0.9981211826877171,518,1740,8,46,510
Stacking Ensemble,Training,0.7,0.9905947040949211,0.998755444928438,0.9622302158273381,0.9801526717557252,0.9997626159991327,1607,5241,2,63,1605
Stacking Ensemble,Testing,0.7,0.9761284722222222,0.9845261121856866,0.9154676258992805,0.9487418452935694,0.9981211826877171,517,1740,8,47,509
Stacking Ensemble,Training,0.75,0.9898712197945304,0.999375,0.9586330935251799,0.9785801713586292,0.9997626159991327,1600,5242,1,69,1599
Stacking Ensemble,Testing,0.75,0.9761284722222222,0.9902152641878669,0.9100719424460432,0.9484536082474226,0.9981211826877171,511,1743,5,50,506
Stacking Ensemble,Training,0.8,0.9890030386340617,0.9993726474278545,0.9550359712230215,0.976701410177805,0.9997626159991327,1594,5242,1,75,1593
Stacking Ensemble,Testing,0.8,0.9761284722222222,0.9921414538310412,0.908273381294964,0.9483568075117371,0.9981211826877171,509,1744,4,51,505
