model_name,split,threshold,accuracy,precision_infeasible,recall_infeasible,f1_infeasible,roc_auc,orders_flagged,true_negative,false_positive,false_negative,true_positive
Tuned SVM,Training,0.2,0.9626682100998408,0.9319852941176471,0.9118705035971223,0.9218181818181819,0.9902553638950369,1632,5132,111,147,1521
Tuned SVM,Testing,0.2,0.95703125,0.9271028037383178,0.8920863309352518,0.9092575618698442,0.9882188071053455,535,1709,39,60,496
Tuned SVM,Training,0.25,0.9645492692808566,0.9411035337879727,0.9100719424460432,0.9253276440109722,0.9902553638950369,1613,5148,95,150,1518
Tuned SVM,Testing,0.25,0.9583333333333334,0.9339622641509434,0.8902877697841727,0.9116022099447514,0.9882188071053455,530,1713,35,61,495
Tuned SVM,Training,0.3,0.9665750253219505,0.949906073888541,0.9094724220623501,0.9292496171516079,0.9902553638950369,1597,5163,80,151,1517
Tuned SVM,Testing,0.3,0.9618055555555556,0.95,0.8884892086330936,0.9182156133828996,0.9882188071053455,520,1722,26,62,494
Tuned SVM,Training,0.35,0.9680219939227319,0.9582013932868905,0.907074340527578,0.9319371727748691,0.9902553638950369,1579,5177,66,155,1513
Tuned SVM,Testing,0.35,0.9618055555555556,0.9534883720930233,0.8848920863309353,0.917910447761194,0.9882188071053455,516,1724,24,64,492
Tuned SVM,Training,0.4,0.969179568803357,0.9642629227823867,0.9058752997601919,0.9341576506955178,0.9902553638950369,1567,5187,56,157,1511
Tuned SVM,Testing,0.4,0.9622395833333334,0.9571150097465887,0.8830935251798561,0.9186155285313377,0.9882188071053455,513,1726,22,65,491
Tuned SVM,Training,0.45,0.9704818405440602,0.9704370179948586,0.9052757793764988,0.9367245657568238,0.9902553638950369,1556,5197,46,158,1510
Tuned SVM,Testing,0.45,0.9639756944444444,0.9664694280078896,0.8812949640287769,0.9219190968955786,0.9882188071053455,507,1731,17,66,490
Tuned SVM,Training,0.5,0.9704818405440602,0.9716494845360825,0.9040767386091128,0.9366459627329192,0.9902553638950369,1552,5199,44,160,1508
Tuned SVM,Testing,0.5,0.9639756944444444,0.9720558882235529,0.8758992805755396,0.9214758751182592,0.9882188071053455,501,1734,14,69,487
Tuned SVM,Training,0.55,0.9719288091448416,0.9791937581274383,0.9028776978417267,0.9394884591391142,0.9902553638950369,1538,5211,32,162,1506
Tuned SVM,Testing,0.55,0.9644097222222222,0.9759036144578314,0.8741007194244604,0.9222011385199241,0.9882188071053455,498,1736,12,70,486
Tuned SVM,Training,0.6,0.9716394154246852,0.9804177545691906,0.9004796163069544,0.93875,0.9902553638950369,1532,5213,30,166,1502
Tuned SVM,Testing,0.6,0.96484375,0.9817444219066938,0.8705035971223022,0.9227836034318398,0.9882188071053455,493,1739,9,72,484
Tuned SVM,Training,0.65,0.9714947185646071,0.9829284307288247,0.8974820143884892,0.9382638671262927,0.9902553638950369,1523,5217,26,171,1497
Tuned SVM,Testing,0.65,0.9644097222222222,0.985655737704918,0.8651079136690647,0.921455938697318,0.9882188071053455,488,1741,7,75,481
Tuned SVM,Training,0.7,0.9706265374041383,0.9860650298606503,0.8908872901678657,0.9360629921259842,0.9902553638950369,1507,5222,21,182,1486
Tuned SVM,Testing,0.7,0.9635416666666666,0.9916666666666667,0.8561151079136691,0.918918918918919,0.9882188071053455,480,1744,4,80,476
Tuned SVM,Training,0.75,0.9694689625235132,0.9872909698996656,0.8848920863309353,0.933291179260196,0.9902553638950369,1495,5224,19,192,1476
Tuned SVM,Testing,0.75,0.9622395833333334,0.9916142557651991,0.8507194244604317,0.9157792836398838,0.9882188071053455,477,1744,4,83,473
Tuned SVM,Training,0.8,0.9675879033424974,0.9884979702300406,0.8758992805755396,0.9287984742530198,0.9902553638950369,1478,5226,17,207,1461
Tuned SVM,Testing,0.8,0.9592013888888888,0.9914893617021276,0.8381294964028777,0.9083820662768031,0.9882188071053455,470,1744,4,90,466
