feature,importance
num__tpt,0.2673382383100129
num__customer_order_frequency,0.09186731317644331
num__plant_customer_frequency,0.07546708826267173
num__log_weight,0.06642968529634473
num__log_weight_per_unit,0.04931549686284422
num__weight_per_unit,0.04911630062123554
num__weight,0.04816512938450163
num__log_unit_quantity,0.04765459553725495
num__customer_product_frequency,0.040371955274019905
num__ship_ahead_day_count,0.03657091052425603
num__unit_quantity,0.03455619000195681
num__plant_product_frequency,0.02885200760981372
num__product_order_frequency,0.02719165779094479
num__is_shipped_ahead,0.02410493596518183
num__has_vmi_rule,0.023365987617366614
num__vmi_rule_satisfied,0.018136862521551878
num__number_of_plants_that_support_product,0.012251746589832252
num__product_is_single_plant_supported,0.01060240440350626
cat__origin_port_PORT09,0.006220665281825863
cat__plant_code_PLANT16,0.006160517829061252
num__plant_warehouse_cost_per_unit,0.005227031435485
cat__plant_origin_PLANT16_PORT09,0.0051258807072103695
num__origin_port_frequency,0.004975973004343133
cat__origin_port_PORT04,0.004107999349057333
num__is_late,0.0021474228830512614
num__plant_order_frequency,0.0016931101657028597
num__plant_capacity_risk_80_flag,0.0016311212756067854
cat__plant_code_PLANT03,0.0012052481779134662
num__plant_over_capacity_flag,0.00115005009100978
num__plant_total_order_count,0.0011171555589002062
num__plant_utilization_ratio,0.00111335037014659
num__plant_supported_product_count,0.0011071540904614833
cat__plant_code_PLANT12,0.0010981835078618352
num__ship_late_day_count,0.0009566231836238872
cat__plant_origin_PLANT03_PORT04,0.0008456637344820312
num__plant_daily_capacity,0.0006405627963237886
cat__plant_origin_PLANT12_PORT04,0.0006307683337652393
cat__plant_origin_PLANT13_PORT04,0.000570334762840588
cat__plant_code_PLANT13,0.000394339593103828
cat__plant_origin_PLANT08_PORT04,0.00026911398699022053
cat__plant_code_PLANT08,0.0002314941792831415
cat__plant_origin_PLANT09_PORT04,1.201915826610346e-05
cat__plant_code_PLANT09,9.710793944960487e-06
