feature,importance
num__tpt,0.6027667114883722
num__log_weight,0.13057002550610142
num__weight,0.12476634398736966
num__plant_customer_frequency,0.05160602813832979
num__customer_order_frequency,0.04378325990723664
num__log_unit_quantity,0.010517346243193169
num__unit_quantity,0.009210911116796772
num__log_weight_per_unit,0.00349307060341308
num__customer_product_frequency,0.0033830228099856387
num__plant_warehouse_cost_per_unit,0.003350814761444534
num__number_of_plants_that_support_product,0.0030972801738151003
num__plant_product_frequency,0.002640178324011595
num__weight_per_unit,0.0025187463783551177
num__product_order_frequency,0.0019295742928460966
num__plant_supported_product_count,0.0017767332704544093
num__plant_order_frequency,0.0006610036095634957
num__has_vmi_rule,0.0006129815357231348
cat__plant_code_PLANT12,0.0006000287961762282
num__vmi_rule_satisfied,0.0005060648418446249
cat__origin_port_PORT09,0.0004131599493031249
cat__plant_origin_PLANT12_PORT04,0.00037862349534142995
cat__plant_code_PLANT16,0.00035812776482210134
num__origin_port_frequency,0.0003338990242559735
cat__plant_origin_PLANT16_PORT09,0.00019753945831160692
cat__origin_port_PORT04,0.0001171825394170943
num__is_shipped_ahead,0.00010374468632041512
num__plant_over_capacity_flag,9.560788767099488e-05
num__plant_utilization_ratio,7.016388115516083e-05
num__ship_ahead_day_count,6.21717246834403e-05
num__plant_daily_capacity,5.385201465684804e-05
num__product_is_single_plant_supported,2.5801789028910485e-05
cat__plant_code_PLANT08,0.0
cat__plant_code_PLANT09,0.0
cat__plant_code_PLANT03,0.0
cat__plant_code_PLANT13,0.0
cat__plant_origin_PLANT09_PORT04,0.0
cat__plant_origin_PLANT08_PORT04,0.0
cat__plant_origin_PLANT03_PORT04,0.0
cat__plant_origin_PLANT13_PORT04,0.0
num__ship_late_day_count,0.0
num__is_late,0.0
num__plant_total_order_count,0.0
num__plant_capacity_risk_80_flag,0.0
